,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
1,EXAMPLE,0.0,5,300,0.41237997256516223,13.954451303155007,6.9151283207180025,0.9999971664388541,0.9949177974885284,22.186526063100136,36.683675964099336
35,ENHANCED_CONTRAST,10,8,1,2.501618923611119,2444.936697048611,7.828846028909348,0.9998100935764633,0.5762723091851156,122.4330078125,14.248127417757061
153,EXAMPLE,0.6,7,500,0.4080333333333357,82.96016666666667,7.481130914029567,0.999994157729222,0.9826800314561883,30.942441666666667,28.942107449900483
153,ENHANCED_CONTRAST,8,10,0,10.325816666666668,2761.21515,7.902065490695385,0.9965794104939479,0.577854039852069,137.04334166666666,13.719801132951483
98,EXAMPLE,0.6,11,1100,0.23499999999999943,240.30283333333333,7.8669905431111085,0.9999981486597154,0.9709669498368937,39.42604166666667,24.323214694074235
35,EXAMPLE,0.9,5,300,0.6465755208333235,53.51428385416666,7.278777625094996,0.9999869955786428,0.9871202307133911,24.42010416666667,30.846106429387206
35,EXAMPLE,0.6,3,700,1.1042404513888897,47.281263020833336,7.292682133207093,0.9999619334622621,0.9888620554406404,26.899270833333333,31.383912915638305
1,EXAMPLE,0.3,3,300,0.6054389574759966,10.818038408779149,6.923604280185948,0.9999938854909263,0.9961648119603774,23.922774348422497,37.78931841823315
98,EXAMPLE,0.0,5,700,1.160816666666662,141.13411666666667,7.8861378418220065,0.9999544837460882,0.9833971842358518,49.15306666666667,26.634483514431494
98,EXAMPLE,0.3,3,500,2.11548333333333,119.29408333333333,7.888359637182123,0.9998476475667201,0.9862921295921846,52.27283333333333,27.36461456505243
35,EXAMPLE,0.3,19,1500,0.0454904513888863,110.9403515625,7.206695654671211,0.999999935932256,0.9725225859603618,13.368572048611112,27.679908230729584
1,EXAMPLE,0.3,11,1300,0.11148834019203946,31.566460905349793,6.896674388669997,0.999999793251229,0.9881845513486693,17.011714677640605,33.13854467459561
98,EXAMPLE,0.9,15,1500,0.11602499999999338,303.2375916666667,7.851190252661004,0.9999995491510667,0.9628149912641347,34.91615,23.312973220826375
1,EXAMPLE,0.6,19,1100,0.03391975308642259,57.68481138545953,6.88081958047772,0.999999980870872,0.97804887462292,12.904132373113855,30.520188839309856
98,EXAMPLE,0.9,5,500,1.160816666666662,141.13411666666667,7.8861378418220065,0.9999544837460882,0.9833971842358518,49.15306666666667,26.634483514431494
153,EXAMPLE,0.9,11,1300,0.18999999999999773,113.2201,7.463610046198853,0.9999987355380091,0.9761070698122332,26.566525,27.591568267349068
35,EXAMPLE,0.3,3,300,1.1042404513888897,47.281263020833336,7.292682133207093,0.9999619334622621,0.9888620554406404,26.899270833333333,31.383912915638305
1,EXAMPLE,0.6,3,700,0.6054389574759966,10.818038408779149,6.923604280185948,0.9999938854909263,0.9961648119603774,23.922774348422497,37.78931841823315
1,EXAMPLE,0.9,5,300,0.41237997256516223,13.954451303155007,6.9151283207180025,0.9999971664388541,0.9949177974885284,22.186526063100136,36.683675964099336
35,EXAMPLE,0.9,15,1300,0.07787326388888971,97.01486979166667,7.222645117444326,0.9999998122040038,0.9760857319785621,15.190112847222222,28.262420557404994
35,EXAMPLE,0.0,19,1100,0.0454904513888863,110.9403515625,7.206695654671211,0.999999935932256,0.9725225859603618,13.368572048611112,27.679908230729584
153,ENHANCED_CONTRAST,8,10,1,10.325816666666668,2761.21515,7.902065490695385,0.9965794104939479,0.577854039852069,137.04334166666666,13.719801132951483
98,EXAMPLE,0.3,19,1300,0.07068333333333499,365.8417666666667,7.833632884773142,0.9999998327366199,0.9544661502783374,31.530216666666668,22.49787075262254
153,EXAMPLE,0.6,15,1300,0.10619166666666047,145.07235833333334,7.443986243967452,0.9999996052927632,0.9690516183032222,23.119,26.51495689759564
98,EXAMPLE,0.6,3,500,2.11548333333333,119.29408333333333,7.888359637182123,0.9998476475667201,0.9862921295921846,52.27283333333333,27.36461456505243
153,ENHANCED_CONTRAST,9,8,1,9.83894166666667,2657.862775,7.916807673281682,0.9968817471837152,0.6010413304437149,133.562325,13.885478062321226
